Month,Unemployment benefits: (United States)
2004-01-01,5.0
2004-04-01,4.0
2004-07-01,3.6666666666666665
2004-10-01,3.3333333333333335
2005-01-01,3.3333333333333335
2005-04-01,3.0
2005-07-01,3.3333333333333335
2005-10-01,3.0
2006-01-01,3.0
2006-04-01,3.0
2006-07-01,3.0
2006-10-01,3.0
2007-01-01,4.0
2007-04-01,4.0
2007-07-01,5.0
2007-10-01,5.333333333333333
2008-01-01,6.333333333333333
2008-04-01,7.333333333333333
2008-07-01,9.0
2008-10-01,17.0
2009-01-01,24.666666666666668
2009-04-01,18.0
2009-07-01,20.0
2009-10-01,22.0
2010-01-01,20.0
2010-04-01,20.333333333333332
2010-07-01,18.0
2010-10-01,14.333333333333334
2011-01-01,13.0
2011-04-01,10.666666666666666
2011-07-01,11.0
2011-10-01,9.333333333333334
2012-01-01,8.666666666666666
2012-04-01,8.0
2012-07-01,8.333333333333334
2012-10-01,10.0
2013-01-01,10.666666666666666
2013-04-01,7.666666666666667
2013-07-01,7.666666666666667
2013-10-01,8.666666666666666
2014-01-01,18.0
2014-04-01,11.0
2014-07-01,6.333333333333333
2014-10-01,5.333333333333333
2015-01-01,4.666666666666667
2015-04-01,4.0
2015-07-01,4.666666666666667
2015-10-01,4.0
2016-01-01,5.0
2016-04-01,4.333333333333333
2016-07-01,4.0
2016-10-01,4.0
2017-01-01,4.0
2017-04-01,3.6666666666666665
2017-07-01,4.0
2017-10-01,3.6666666666666665
2018-01-01,3.6666666666666665
2018-04-01,3.0
2018-07-01,3.3333333333333335
2018-10-01,3.3333333333333335
2019-01-01,4.0
2019-04-01,3.3333333333333335
2019-07-01,3.3333333333333335
2019-10-01,4.0
2020-01-01,18.0
2020-04-01,66.0
2020-07-01,49.666666666666664
2020-10-01,28.666666666666668
2021-01-01,31.333333333333332
2021-04-01,22.333333333333332
2021-07-01,16.0
2021-10-01,7.0
2022-01-01,6.0
2022-04-01,4.666666666666667
2022-07-01,4.666666666666667
2022-10-01,5.0
2023-01-01,6.333333333333333
2023-04-01,7.0
2023-07-01,7.0
2023-10-01,6.666666666666667
2024-01-01,5.666666666666667
2024-04-01,5.0
2024-07-01,5.0
2024-10-01,5.0
