DATE,ADXDNO
1992-01-01,109771.5
1992-04-01,116492.66666666667
1992-07-01,115091.66666666667
1992-10-01,115848.33333333333
1993-01-01,118584.0
1993-04-01,121377.0
1993-07-01,120518.0
1993-10-01,125890.33333333333
1994-01-01,130932.33333333333
1994-04-01,136005.0
1994-07-01,138778.0
1994-10-01,143080.33333333334
1995-01-01,146074.66666666666
1995-04-01,145143.66666666666
1995-07-01,147801.33333333334
1995-10-01,152398.66666666666
1996-01-01,148735.33333333334
1996-04-01,154589.0
1996-07-01,156260.0
1996-10-01,155653.33333333334
1997-01-01,160965.66666666666
1997-04-01,165932.0
1997-07-01,171706.0
1997-10-01,175395.33333333334
1998-01-01,171724.66666666666
1998-04-01,171765.66666666666
1998-07-01,170488.33333333334
1998-10-01,173475.66666666666
1999-01-01,178235.33333333334
1999-04-01,177799.0
1999-07-01,183272.66666666666
1999-10-01,185785.33333333334
2000-01-01,185838.66666666666
2000-04-01,188603.66666666666
2000-07-01,186688.66666666666
2000-10-01,182446.0
2001-01-01,173106.0
2001-04-01,168574.33333333334
2001-07-01,161069.33333333334
2001-10-01,156003.33333333334
2002-01-01,159202.0
2002-04-01,163081.0
2002-07-01,163874.0
2002-10-01,160943.66666666666
2003-01-01,163017.66666666666
2003-04-01,161670.0
2003-07-01,165554.0
2003-10-01,172090.0
2004-01-01,173744.0
2004-04-01,174899.66666666666
2004-07-01,177499.33333333334
2004-10-01,181792.0
2005-01-01,185272.0
2005-04-01,194741.0
2005-07-01,193417.33333333334
2005-10-01,208384.66666666666
2006-01-01,209386.0
2006-04-01,207243.66666666666
2006-07-01,206902.66666666666
2006-10-01,212330.0
2007-01-01,214691.0
2007-04-01,221105.33333333334
2007-07-01,219541.33333333334
2007-10-01,222399.66666666666
2008-01-01,223093.66666666666
2008-04-01,216237.0
2008-07-01,202447.33333333334
2008-10-01,168650.33333333334
2009-01-01,139631.33333333334
2009-04-01,135785.0
2009-07-01,145788.66666666666
2009-10-01,150719.66666666666
2010-01-01,165686.0
2010-04-01,173335.0
2010-07-01,179896.0
2010-10-01,181326.0
2011-01-01,189394.66666666666
2011-04-01,188493.66666666666
2011-07-01,196023.0
2011-10-01,205723.66666666666
2012-01-01,212731.33333333334
2012-04-01,206685.33333333334
2012-07-01,201205.33333333334
2012-10-01,207385.66666666666
2013-01-01,215607.66666666666
2013-04-01,225400.66666666666
2013-07-01,215417.66666666666
2013-10-01,227841.66666666666
2014-01-01,219381.0
2014-04-01,221663.0
2014-07-01,247268.33333333334
2014-10-01,217766.33333333334
2015-01-01,214718.33333333334
2015-04-01,214065.33333333334
2015-07-01,212368.66666666666
2015-10-01,209955.33333333334
2016-01-01,209308.33333333334
2016-04-01,209269.33333333334
2016-07-01,205217.0
2016-10-01,208051.66666666666
2017-01-01,210001.33333333334
2017-04-01,216909.33333333334
2017-07-01,210367.66666666666
2017-10-01,221197.66666666666
2018-01-01,223841.0
2018-04-01,227381.33333333334
2018-07-01,224425.0
2018-10-01,222163.66666666666
2019-01-01,219749.66666666666
2019-04-01,210849.33333333334
2019-07-01,210545.33333333334
2019-10-01,202495.66666666666
2020-01-01,204277.0
2020-04-01,164306.66666666666
2020-07-01,206776.66666666666
2020-10-01,217229.33333333334
2021-01-01,230686.33333333334
2021-04-01,235090.33333333334
2021-07-01,241176.66666666666
2021-10-01,249129.66666666666
2022-01-01,258468.0
2022-04-01,257196.33333333334
2022-07-01,259473.66666666666
2022-10-01,261063.0
2023-01-01,262320.3333333333
2023-04-01,271599.3333333333
2023-07-01,272289.3333333333
2023-10-01,273219.0
2024-01-01,264360.0
2024-04-01,259687.33333333334
2024-07-01,271152.0
